time,temperature,vibration,power,speed
0,58.333615091898906,11.548332415703063,76.13117058893027,1455.1685888016923
1,52.62204003472229,24.5212166493837,78.06562472936108,1418.4799807481365
2,49.789078480551936,24.308923856274678,71.65645306529721,1440.712219662827
3,45.04636699906676,17.036449057725225,76.422457121388,1598.2113709830837
4,59.76700644413646,19.762643552543167,74.77836336159943,1449.4071312355604
5,46.92807604314802,18.452512637951727,70.88753931764363,1514.2649998580946
6,47.013075666678084,22.23354805755025,81.76703083356148,1447.911251981847
7,40.0591235714757,19.033460375532997,88.97382806996967,1538.3199129357274
8,51.39426862408971,14.157848805386529,79.65317515169178,1408.5485714456686
9,41.10790735877387,13.044047327201515,85.91581487475393,1408.3807746129837
10,46.663699272324365,23.35117343273357,81.01069283094058,1535.3295786444405
11,57.07637609839017,17.831568875176234,87.57508975231647,1468.6612222124973
12,56.33378442414934,22.604445999670833,72.81170753916977,1480.0080524138511
13,57.020464242755395,13.568274129928593,87.9960086847475,1446.8525044420376
14,41.65846636275254,14.066584166962222,72.13870406528022,1509.5803658437023
15,52.273396738648756,17.188923040956272,71.28459729781045,1486.750103883393
16,55.38156754275356,14.036151303472966,78.84949834475735,1516.6281679147014
17,47.66627388213078,11.473877290936738,88.64393977724019,1527.368842900457
18,49.098840336249424,12.656260696862962,75.02489611419908,1484.813727071782
19,59.727918162872044,15.788663953431023,76.9682722734755,1441.012007610825
20,59.774139923084235,17.93938963869847,80.6793687043499,1521.299511527954
21,42.440574217601075,10.002460075041396,71.0427874964325,1503.934245747514
22,41.114365463861795,20.558068826884217,82.30156500505205,1405.782911188239
23,52.91649996374427,17.496033177685632,75.3434573746516,1408.794306818653
24,50.659771666583254,22.21283856471028,80.37993473449626,1593.3075470404096
25,44.18609381326396,10.857218822756176,70.72590560189326,1540.559802634669
26,50.20606353054699,22.638668601544687,82.34838771372752,1585.5982612340442
27,53.732196086598414,11.181398904425713,73.63523955780455,1426.86552973507
28,45.3929021207859,21.72414675267121,75.98806449042185,1547.2781250251176
29,57.28965770128356,21.62437647646778,74.9505337322937,1420.6882305953884
30,51.54404579446691,17.263327365553895,88.91052893420726,1555.1110962805956
31,55.687823883073705,15.18268047039495,73.26986693601117,1536.9677336300751
32,57.290745526338284,18.091342879499898,76.61438179905954,1576.2221705874651
33,50.48257815523479,20.634861367088085,85.46521291912768,1518.1473633020596
34,46.91193116836009,11.326180718835092,78.18867301772212,1451.7101441126215
35,56.21745306535763,15.094603429949707,82.94520105223745,1503.4749572473113
36,53.476643840888755,21.625936811736068,80.8830010727433,1512.3668916841539
37,55.41174979188965,18.268711457548704,84.53606389150869,1511.0955203498893
38,49.783339892932396,24.322623038878746,81.38505915810157,1556.3496337628767
39,47.15005673968584,18.21248828679817,79.95146011946767,1560.717261306606
40,51.182526743235464,22.651205262276505,72.74975811544024,1480.9548977044763
41,40.68391572406044,15.27267001808703,70.06726519909057,1443.7204931285307
42,45.26836972432008,20.916392354131094,77.19641122792306,1564.439746871733
43,49.61782149559494,13.32279323353828,75.99422763074034,1598.1678797489808
44,59.64396032694796,13.190398717319802,85.53495335401912,1418.9355645888465
45,45.774811097302106,11.680267785004961,87.09879506625758,1436.1978735602015
46,48.995589892371505,20.663349710084574,72.0090604220961,1512.6532555716071
